========================= RTP Streams ========================
   Start time      End time     Src IP addr  Port    Dest IP addr  Port       SSRC          Payload  Pkts         Lost   Min Delta(ms)  Mean Delta(ms)   Max Delta(ms)  Min Jitter(ms) Mean Jitter(ms)  Max Jitter(ms) Problems?
   179.639522    179.779359      172.18.0.1  7796      172.18.0.4  6000 0x7EEC1154            g711A     8     0 (0.0%)          19.230          19.977          20.793           0.050           0.087           0.142 
   179.439694    179.779350      172.18.0.1  7794      172.18.0.3  6000 0x7EEC1152            g711A    18     0 (0.0%)           0.084          19.980          39.697           0.038           1.509           3.914 
   179.239386    179.779341      172.18.0.1  7792      172.18.0.2  6000 0x7EEC1150            g711A    28     0 (0.0%)          19.212          19.998          20.984           0.048           0.236           0.370 
   179.039936    179.779333      172.18.0.1  7790      172.18.0.4  6000 0x7EEC114E            g711A    38     0 (0.0%)          19.211          19.984          21.167           0.030           0.287           0.428 
   178.839765    179.779325      172.18.0.1  7788      172.18.0.3  6000 0x7EEC114C            g711A    48     0 (0.0%)           0.101          19.991          39.680           0.040           0.828           4.039 
   178.639676    179.779317      172.18.0.1  7786      172.18.0.3  6000 0x7EEC114A            g711A    58     0 (0.0%)           0.102          19.994          39.680           0.043           0.754           4.048 
   178.439635    179.779308      172.18.0.1  7784      172.18.0.3  6000 0x7EEC1148            g711A    68     0 (0.0%)           0.058          19.995          40.230           0.030           1.280           4.091 
   178.239310    179.779299      172.18.0.1  7782      172.18.0.4  6000 0x7EEC1146            g711A    78     0 (0.0%)           0.050          20.000          40.231           0.035           1.667           4.120 
   178.040083    179.779291      172.18.0.1  7780      172.18.0.2  6000 0x7EEC1144            g711A    88     0 (0.0%)          19.156          19.991          21.251           0.052           0.420           0.549 
   177.840329    179.779196      172.18.0.1  7778      172.18.0.4  6000 0x7EEC1142            g711A    98     0 (0.0%)           0.108          19.988          40.186           0.038           1.466           4.260 
   177.639099    179.779214      172.18.0.1  7776      172.18.0.3  6000 0x7EEC1140            g711A   108     0 (0.0%)          18.380          20.001          21.476           0.083           0.486           0.700 
   177.439507    179.779224      172.18.0.1  7774      172.18.0.3  6000 0x7EEC113E            g711A   118     0 (0.0%)          18.378          19.998          21.469           0.011           0.480           0.698 
   177.238854    179.779232      172.18.0.1  7772      172.18.0.3  6000 0x7EEC113C            g711A   128     0 (0.0%)           0.076          20.003          40.206           0.027           1.585           4.402 
   177.040085    179.779241      172.18.0.1  7770      172.18.0.4  6000 0x7EEC113A            g711A   138     0 (0.0%)          18.202          19.994          21.829           0.034           0.545           0.698 
   176.839904    179.779249      172.18.0.1  7768      172.18.0.3  6000 0x7EEC1138            g711A   148     0 (0.0%)           0.067          19.996          40.212           0.034           1.462           4.414 
   176.640718    179.779257      172.18.0.1  7766      172.18.0.2  6000 0x7EEC1136            g711A   158     0 (0.0%)           0.067          19.991          40.211           0.116           1.414           4.416 
   176.440400    179.779266      172.18.0.1  7764      172.18.0.2  6000 0x7EEC1134            g711A   168     0 (0.0%)          18.149          19.993          21.835           0.010           0.538           0.793 
   176.239698    179.779274      172.18.0.1  7762      172.18.0.2  6000 0x7EEC1132            g711A   178     0 (0.0%)          18.150          19.998          21.834           0.052           0.527           0.811 
   176.039778    179.779283      172.18.0.1  7760      172.18.0.4  6000 0x7EEC1130            g711A   188     0 (0.0%)           0.051          19.997          40.225           0.046           1.269           4.417 
