========================= RTP Streams ========================
   Start time      End time     Src IP addr  Port    Dest IP addr  Port       SSRC          Payload  Pkts         Lost   Min Delta(ms)  Mean Delta(ms)   Max Delta(ms)  Min Jitter(ms) Mean Jitter(ms)  Max Jitter(ms) Problems?
   179.638680    179.777692      172.18.0.1  7796      172.18.0.2  6000 0x40761577            g711A     8     0 (0.0%)          18.698          19.859          20.929           0.081           0.140           0.199 
   179.437641    179.777683      172.18.0.1  7794      172.18.0.2  6000 0x40761575            g711A    18     0 (0.0%)          19.234          20.002          20.931           0.048           0.214           0.310 
   179.238445    179.777673      172.18.0.1  7792      172.18.0.2  6000 0x40761573            g711A    28     0 (0.0%)          19.225          19.971          21.308           0.010           0.252           0.388 
   179.039237    179.777662      172.18.0.1  7790      172.18.0.3  6000 0x40761571            g711A    38     0 (0.0%)           0.398          19.957          39.945           0.029           1.256           2.713 
   178.838344    179.777643      172.18.0.1  7788      172.18.0.4  6000 0x4076156F            g711A    48     0 (0.0%)          18.219          19.985          21.955           0.038           0.440           0.587 
   178.638730    179.777634      172.18.0.1  7786      172.18.0.4  6000 0x4076156D            g711A    58     0 (0.0%)           0.067          19.981          39.935           1.002           1.663           3.296 
   178.437763    179.777624      172.18.0.1  7784      172.18.0.4  6000 0x4076156B            g711A    68     0 (0.0%)           0.069          19.998          39.935           0.049           1.477           3.302 
   178.237379    179.777615      172.18.0.1  7782      172.18.0.4  6000 0x40761569            g711A    78     0 (0.0%)          18.217          20.003          21.569           0.072           0.463           0.734 
   178.038189    179.777606      172.18.0.1  7780      172.18.0.4  6000 0x40761567            g711A    88     0 (0.0%)           0.048          19.993          39.924           0.803           1.713           3.381 
   177.837788    179.777324      172.18.0.1  7778      172.18.0.2  6000 0x40761565            g711A    98     0 (0.0%)           0.099          19.995          40.079           0.012           1.990           4.255 
   177.636746    179.777521      172.18.0.1  7776      172.18.0.2  6000 0x40761563            g711A   108     0 (0.0%)           0.094          20.007          40.083           0.014           1.865           4.429 
   177.438054    179.777532      172.18.0.1  7774      172.18.0.3  6000 0x40761561            g711A   118     0 (0.0%)          18.199          19.996          21.650           0.047           0.566           0.794 
   177.238270    179.777541      172.18.0.1  7772      172.18.0.4  6000 0x4076155F            g711A   128     0 (0.0%)           0.085          19.994          40.093           0.012           1.666           4.534 
   177.037398    179.777551      172.18.0.1  7770      172.18.0.2  6000 0x4076155D            g711A   138     0 (0.0%)           0.055          20.001          40.094           0.010           1.859           4.648 
   176.837924    179.777560      172.18.0.1  7768      172.18.0.2  6000 0x4076155B            g711A   148     0 (0.0%)           0.054          19.998          40.094           0.048           2.038           4.723 
   176.638695    179.777569      172.18.0.1  7766      172.18.0.3  6000 0x40761559            g711A   158     0 (0.0%)          18.213          19.993          21.609           0.023           0.541           0.787 
   176.437589    179.777578      172.18.0.1  7764      172.18.0.3  6000 0x40761557            g711A   168     0 (0.0%)          18.212          20.000          21.597           0.010           0.533           0.807 
   176.237014    179.777587      172.18.0.1  7762      172.18.0.2  6000 0x40761555            g711A   178     0 (0.0%)          18.212          20.003          21.576           0.097           0.547           0.781 
   176.037500    179.777596      172.18.0.1  7760      172.18.0.2  6000 0x40761553            g711A   188     0 (0.0%)          18.211          20.001          21.785           0.010           0.548           0.802 
   175.838168    179.758111      172.18.0.1  7758      172.18.0.3  6000 0x40761551            g711A   198     0 (0.0%)           0.054          19.898          39.985           0.011           1.438           4.327 
   175.637003    179.777820      172.18.0.1  7756      172.18.0.3  6000 0x4076154F            g711A   208     0 (0.0%)          18.234          20.004          21.744           0.055           0.513           0.702 
   175.438171    179.777811      172.18.0.1  7754      172.18.0.3  6000 0x4076154D            g711A   218     0 (0.0%)          18.233          19.998          21.750           0.003           0.513           0.710 
   175.237048    179.777802      172.18.0.1  7752      172.18.0.3  6000 0x4076154B            g711A   228     0 (0.0%)          18.232          20.003          21.757           0.087           0.530           0.712 
   175.037827    179.777793      172.18.0.1  7750      172.18.0.4  6000 0x40761549            g711A   238     0 (0.0%)          18.231          20.000          21.765           0.046           0.546           0.732 
   174.838466    179.758101      172.18.0.1  7748      172.18.0.4  6000 0x40761547            g711A   248     0 (0.0%)           0.056          19.918          40.730           0.041           2.067           5.778 
   174.638088    179.777783      172.18.0.1  7746      172.18.0.3  6000 0x40761545            g711A   258     0 (0.0%)          18.229          19.999          21.782           0.009           0.559           0.763 
   174.437730    179.777771      172.18.0.1  7744      172.18.0.4  6000 0x40761543            g711A   268     0 (0.0%)          18.229          20.000          21.786           0.047           0.568           0.762 
   174.238345    179.758091      172.18.0.1  7742      172.18.0.3  6000 0x40761541            g711A   278     0 (0.0%)           0.072          19.927          40.714           0.006           1.913           5.938 
   174.038462    179.777761      172.18.0.1  7740      172.18.0.4  6000 0x4076153F            g711A   288     0 (0.0%)          18.195          19.998          21.688           0.052           0.578           0.762 
   173.837444    179.758055      172.18.0.1  7738      172.18.0.3  6000 0x4076153D            g711A   298     0 (0.0%)           0.098          19.935          40.650           0.029           2.057           5.985 
   173.638367    179.758064      172.18.0.1  7736      172.18.0.2  6000 0x4076153B            g711A   308     0 (0.0%)           0.099          19.934          40.657           0.016           2.003           5.988 
   173.438169    179.777292      172.18.0.1  7734      172.18.0.3  6000 0x40761539            g711A   318     0 (0.0%)          18.210          19.997          21.695           0.052           0.553           0.752 
   173.238233    179.758073      172.18.0.1  7732      172.18.0.4  6000 0x40761537            g711A   328     0 (0.0%)           0.089          19.938          40.666           0.039           1.937           6.029 
   173.038304    179.777708      172.18.0.1  7730      172.18.0.3  6000 0x40761535            g711A   338     0 (0.0%)          18.208          19.998          21.693           0.004           0.558           0.744 
   172.837026    179.777721      172.18.0.1  7728      172.18.0.3  6000 0x40761533            g711A   348     0 (0.0%)          18.203          20.002          21.692           0.037           0.555           0.741 
   172.637330    179.777731      172.18.0.1  7726      172.18.0.4  6000 0x40761531            g711A   358     0 (0.0%)          18.200          20.001          21.690           0.009           0.553           0.727 
   172.437678    179.777742      172.18.0.1  7724      172.18.0.2  6000 0x4076152F            g711A   368     0 (0.0%)          18.199          20.000          21.689           0.052           0.552           0.726 
   172.237727    179.758082      172.18.0.1  7722      172.18.0.4  6000 0x4076152D            g711A   378     0 (0.0%)           0.028          19.948          40.699           0.045           2.160           6.095 
   172.038143    179.777752      172.18.0.1  7720      172.18.0.4  6000 0x4076152B            g711A   388     0 (0.0%)          18.196          19.999          21.688           0.021           0.558           0.754 
   171.837857    179.778019      172.18.0.1  7718      172.18.0.2  6000 0x40761529            g711A   398     0 (0.0%)          18.253          20.000          21.754           0.026           0.537           0.756 
   171.637300    179.778009      172.18.0.1  7716      172.18.0.3  6000 0x40761527            g711A   408     0 (0.0%)          18.251          20.002          21.755           0.021           0.540           0.757 
   171.437225    179.778000      172.18.0.1  7714      172.18.0.3  6000 0x40761525            g711A   418     0 (0.0%)          18.245          20.002          21.754           0.015           0.548           0.757 
   171.238141    179.777990      172.18.0.1  7712      172.18.0.2  6000 0x40761523            g711A   428     0 (0.0%)           0.115          20.000          40.511           0.036           2.637           7.412 
   171.038261    179.777981      172.18.0.1  7710      172.18.0.4  6000 0x40761521            g711A   438     0 (0.0%)           0.115          19.999          40.509           0.004           2.592           7.412 
   170.838210    179.777971      172.18.0.1  7708      172.18.0.4  6000 0x4076151F            g711A   448     0 (0.0%)           0.115          19.999          40.509           0.012           2.547           7.412 
   170.638118    179.777962      172.18.0.1  7706      172.18.0.3  6000 0x4076151D            g711A   458     0 (0.0%)           0.115          20.000          40.509           0.002           2.509           7.413 
   170.438309    179.777953      172.18.0.1  7704      172.18.0.2  6000 0x4076151B            g711A   468     0 (0.0%)          18.237          19.999          21.754           0.004           0.562           0.710 
   170.237739    179.777944      172.18.0.1  7702      172.18.0.3  6000 0x40761519            g711A   478     0 (0.0%)           0.076          20.000          40.500           0.043           2.508           7.428 
   170.038354    179.777934      172.18.0.1  7700      172.18.0.4  6000 0x40761517            g711A   488     0 (0.0%)          18.235          19.999          21.758           0.043           0.571           0.715 
   169.837581    179.777835      172.18.0.1  7698      172.18.0.3  6000 0x40761515            g711A   498     0 (0.0%)           0.091          20.001          40.328           0.051           2.489           7.418 
   169.637226    179.777848      172.18.0.1  7696      172.18.0.2  6000 0x40761513            g711A   508     0 (0.0%)           0.088          20.001          40.333           0.008           2.455           7.422 
   169.436857    179.777859      172.18.0.1  7694      172.18.0.2  6000 0x40761511            g711A   518     0 (0.0%)          18.211          20.002          21.817           0.017           0.566           0.744 
