========================= RTP Streams ========================
   Start time      End time     Src IP addr  Port    Dest IP addr  Port       SSRC          Payload  Pkts         Lost   Min Delta(ms)  Mean Delta(ms)   Max Delta(ms)  Min Jitter(ms) Mean Jitter(ms)  Max Jitter(ms) Problems?
   179.638362    179.777682      172.18.0.1  7796      172.18.0.2  6000 0x13B48E57            g711A     8     0 (0.0%)          19.244          19.903          21.399           0.045           0.169           0.273 
   179.438726    179.777673      172.18.0.1  7794      172.18.0.2  6000 0x13B48E55            g711A    18     0 (0.0%)          19.244          19.938          21.400           0.029           0.216           0.428 
   179.238656    179.777665      172.18.0.1  7792      172.18.0.3  6000 0x13B48E53            g711A    28     0 (0.0%)          19.244          19.963          21.401           0.010           0.227           0.488 
   179.038519    179.777656      172.18.0.1  7790      172.18.0.2  6000 0x13B48E51            g711A    38     0 (0.0%)          19.244          19.977          21.513           0.007           0.268           0.522 
   178.838821    179.777647      172.18.0.1  7788      172.18.0.4  6000 0x13B48E4F            g711A    48     0 (0.0%)           0.096          19.975          40.238           0.006           1.021           2.699 
   178.638705    179.777639      172.18.0.1  7786      172.18.0.4  6000 0x13B48E4D            g711A    58     0 (0.0%)           0.096          19.981          40.236           0.016           0.979           2.790 
   178.437985    179.777630      172.18.0.1  7784      172.18.0.4  6000 0x13B48E4B            g711A    68     0 (0.0%)           0.070          19.995          39.872           0.053           1.458           3.097 
   178.239079    179.777621      172.18.0.1  7782      172.18.0.4  6000 0x13B48E49            g711A    78     0 (0.0%)           0.065          19.981          41.002           1.062           2.362           5.065 
   178.038342    179.777611      172.18.0.1  7780      172.18.0.2  6000 0x13B48E47            g711A    88     0 (0.0%)          18.246          19.992          21.802           0.046           0.451           0.613 
   177.838237    179.777512      172.18.0.1  7778      172.18.0.4  6000 0x13B48E45            g711A    98     0 (0.0%)           0.081          19.993          40.896           0.048           2.786           5.804 
   177.639291    179.777531      172.18.0.1  7776      172.18.0.4  6000 0x13B48E43            g711A   108     0 (0.0%)           0.077          19.984          40.911           0.115           2.565           5.821 
   177.438018    179.777540      172.18.0.1  7774      172.18.0.4  6000 0x13B48E41            g711A   118     0 (0.0%)          18.152          19.996          21.789           0.057           0.480           0.653 
   177.239164    179.777549      172.18.0.1  7772      172.18.0.4  6000 0x13B48E3F            g711A   128     0 (0.0%)          18.153          19.987          21.766           0.054           0.497           0.654 
   177.038221    179.777558      172.18.0.1  7770      172.18.0.4  6000 0x13B48E3D            g711A   138     0 (0.0%)          18.154          19.995          21.759           0.050           0.504           0.653 
