========================= RTP Streams ========================
   Start time      End time     Src IP addr  Port    Dest IP addr  Port       SSRC          Payload  Pkts         Lost   Min Delta(ms)  Mean Delta(ms)   Max Delta(ms)  Min Jitter(ms) Mean Jitter(ms)  Max Jitter(ms) Problems?
   179.753673    179.777839      172.18.0.1  7394      172.18.0.4  6000 0x29180631            g711A     3     0 (0.0%)           6.661          12.083          17.504           0.834           0.886           0.938 
   179.559920    179.790227      172.18.0.1  7392      172.18.0.3  6000 0x2918062F            g711A    12     0 (0.0%)           2.119          20.937          40.564           0.295           3.792           6.876 X
   179.357153    179.772265      172.18.0.1  7390      172.18.0.2  6000 0x2918062D            g711A    23     0 (0.0%)           0.010          18.869          47.725           1.044           7.378          12.018 X
   179.164397    179.807227      172.18.0.1  7388      172.18.0.2  6000 0x2918062B            g711A    33     0 (0.0%)           0.203          20.088          48.530           0.582           7.326          13.499 X
   178.952870    179.782031      172.18.0.1  7386      172.18.0.3  6000 0x29180629            g711A    39     2 (4.9%)           0.787          21.820          51.622           1.976           9.154          13.467 X
   178.781885    179.769201      172.18.0.1  7384      172.18.0.2  6000 0x29180627            g711A    49     2 (3.9%)           0.489          20.569          58.653           0.225          10.955          21.892 X
   178.577930    179.778723      172.18.0.1  7382      172.18.0.3  6000 0x29180625            g711A    57     3 (5.0%)           1.479          21.443          75.035           1.662          12.328          20.211 X
   178.331331    179.776345      172.18.0.1  7380      172.18.0.4  6000 0x29180623            g711A    69     4 (5.5%)           0.194          21.250          52.083           1.137          13.048          18.744 X
   178.134179    179.790087      172.18.0.1  7378      172.18.0.3  6000 0x29180621            g711A    83     1 (1.2%)           0.995          20.194          50.975           0.657          13.642          19.037 X
   177.955881    179.781698      172.18.0.1  7376      172.18.0.2  6000 0x2918061F            g711A    90     0 (0.0%)           0.861          20.515          64.225           2.389          11.711          17.383 X
   177.723679    179.775805      172.18.0.1  7374      172.18.0.2  6000 0x2918061D            g711A    97     7 (6.7%)           0.294          21.376          66.767           1.017          12.752          18.090 X
